Model,Split_Dir,LR,RNN_LR,LR_Display,Diff_LR,CNN_Frozen,Weight_Decay,Batch_Size,Seed,Params,Epochs,Best_Epoch,Early_Stop,Test_F1,Test_AUROC,Test_Accuracy,Test_Loss,Val_F1,Run_ID,Date,Device,User,Platform,Torch_Vers
cnn_only,data/splits_10s,6.27e-05,2.82e-06,"CNN=6.27e-05, RNN=2.82e-06",True,False,4.92e-05,32,58032,44228,22,12,True,0.4287324582548418,0.5873146098997929,0.42409569923098833,1.5170391527766531,0.44099468958517296,cnn_only_seed58032_20251210_161751,2025-12-10T16:17:51.861145,cuda,navak,Linux,2.8.0+cu128
cnn_only,data/splits_10s,3.95e-05,,3.95e-05,False,False,2.32e-06,32,42872,44228,11,1,True,0.426794380309236,0.5319130513478072,0.41013956137852464,1.2995597682215951,0.45537723393697505,cnn_only_seed42872_20251210_222125,2025-12-10T22:21:26.625093,cuda,tomra,Windows,2.9.1+cu128
cnn_lstm_seq16,data/splits_20s,3.18e-05,3.82e-05,"CNN=3.18e-05, RNN=3.82e-05",True,False,2.95e-06,256,89452,87588,48,38,True,0.4265154523990735,0.5443988714627627,0.454512504530627,1.2075811949643223,0.4209624297052827,cnn_lstm_seq16_seed89452_20251210_222203,2025-12-10T22:22:03.404036,cuda,navak,Linux,2.8.0+cu128
cnn_lstm,data/splits,2.04e-05,3.02e-06,"CNN=2.04e-05, RNN=3.02e-06",True,True,9.68e-05,256,33760,308420,35,25,True,0.42343387560750023,0.5087394107591092,0.5243829815390724,1.3836223085721333,0.41632982980912786,cnn_lstm_seed33760_20251210_214027,2025-12-10T21:40:27.417370,cuda,navak,Linux,2.8.0+cu128
cnn_only,data/splits_20s,1e-05,,1.00e-05,False,False,0.000821,256,81590,44228,11,1,True,0.42225552294994284,0.5659007768646237,0.5770206596592968,1.3862857276743108,0.42929684767155907,cnn_only_seed81590_20251210_214816,2025-12-10T21:48:16.724511,cuda,navak,Linux,2.8.0+cu128
cnn_lstm_ln,data/splits,0.000562,2e-05,"CNN=5.62e-04, RNN=2.00e-05",True,False,1.18e-05,192,39780,308676,11,1,True,0.41827136271583426,0.5132995370163302,0.3972738701779925,1.3663287751282318,0.40914899533837445,cnn_lstm_ln_seed39780_20251210_215518,2025-12-10T21:55:18.706540,cuda,navak,Linux,2.8.0+cu128
cnn_lstm_ln,data/splits,5.77e-05,1.68e-05,"CNN=5.77e-05, RNN=1.68e-05",True,False,4.34e-06,192,81245,308676,11,1,True,0.41724403282390266,0.5203881068518404,0.4093826506980745,1.3738668613795992,0.40312996152198954,cnn_lstm_ln_seed81245_20251210_215747,2025-12-10T21:57:47.052234,cuda,navak,Linux,2.8.0+cu128
cnn_lstm_ln,data/splits,5e-05,0.0001,"CNN=5.00e-05, RNN=1.00e-04",True,False,0.001,96,9134,308676,23,8,True,0.4154620961377321,0.5474255232072347,0.3911863958181698,1.2398909217194667,0.39865324318601775,cnn_lstm_ln_seed9134_20251208_175515,2025-12-08T17:55:15.936462,cuda,navak,Linux,2.8.0+cu128
cnn_only,data/splits_20s,9.67e-05,1.88e-06,"CNN=9.67e-05, RNN=1.88e-06",True,False,7.2e-06,64,35340,44228,20,10,True,0.41199941777965116,0.5646212459741035,0.3878216745197535,1.2195379016074268,0.4403529185669068,cnn_only_seed35340_20251210_143120,2025-12-10T14:31:20.774193,cuda,navak,Linux,2.8.0+cu128
cnn_lstm_ln,data/splits_10s,0.000698,2.93e-05,"CNN=6.98e-04, RNN=2.93e-05",True,True,0.000137,128,57041,308676,23,13,True,0.4117893136342819,0.5067147802582214,0.44673882084876104,1.3675775441256437,0.4157503906706898,cnn_lstm_ln_seed57041_20251210_222417,2025-12-10T22:24:18.687039,cuda,tomra,Windows,2.9.1+cu128
cnn_only,data/splits_10s,3.53e-05,2.31e-05,"CNN=3.53e-05, RNN=2.31e-05",True,False,1.46e-05,64,50385,44228,11,1,True,0.4111707970876964,0.528886441845379,0.4908857875249217,1.3407963525165212,0.4110574907818167,cnn_only_seed50385_20251210_143855,2025-12-10T14:38:55.604131,cuda,navak,Linux,2.8.0+cu128
